Pubmed,miR_Name,miRBase_name,miR_ID,Drug,CID,Material_1,Material_2,Material_3,Material_4,Condition,Experiment,Level,Effect,Target,Regulation,Year,Reference,Support
18493594,miR-17,hsa-mir-17,MI0000071,Chemotherapy,-,"SH-EP, SK-N-AS, SH-SY-5Y, LAN-5 and IMR32",-,-,-,neuroblastoma ,in vitro,Low,Resistant,P21,-,2008,Antagomir-17-5p abolishes the growth of therapy-resistant neuroblastoma through p21 and BIM.,In vitro or in vivo treatment with antagomir-17-5p abolishes the growth of MYCN-amplified and therapy-resistant neuroblastoma through p21 and BIM upmodulation.
18619946,miR-27a,hsa-mir-27a,MI0000085,Hydroxyurea,3657,-,KB-3-1 vs KB-V1 ,-,-,cervix carcinoma,in vitro,Low,Resistant,MDR1,-,2008,Role of MicroRNA miR-27a and miR-451 in the regulation of MDR1/P-glycoprotein expression in human cancer cells.,The sensitivity to and intracellular accumulation of cytotoxic drugs that are transported by P-glycoprotein were enhanced by the treatment with the antagomirs of miR-27a or miR-451.
18619946,miR-27a,hsa-mir-27a,MI0000085,Hydroxyurea,3657,-,A2780 vs A2780DX5,-,-,ovarian cancer,in vitro,Low,Resistant,MDR1,-,2008,Role of MicroRNA miR-27a and miR-451 in the regulation of MDR1/P-glycoprotein expression in human cancer cells.,The sensitivity to and intracellular accumulation of cytotoxic drugs that are transported by P-glycoprotein were enhanced by the treatment with the antagomirs of miR-27a or miR-451.
18619946,miR-27a,hsa-mir-27a,MI0000085,Vinblastine,241903,KB-3-1 and KB-V1 ,-,-,-,cervix carcinoma,in vitro,Low,Resistant,MDR1,-,2008,Role of MicroRNA miR-27a and miR-451 in the regulation of MDR1/P-glycoprotein expression in human cancer cells.,The sensitivity to and intracellular accumulation of cytotoxic drugs that are transported by P-glycoprotein were enhanced by the treatment with the antagomirs of miR-27a or miR-451.
18619946,miR-27a,hsa-mir-27a,MI0000085,Vinblastine,241903,-,A2780 vs A2780DX5,-,-,ovarian cancer,in vitro,Low,Resistant,MDR1,-,2008,Role of MicroRNA miR-27a and miR-451 in the regulation of MDR1/P-glycoprotein expression in human cancer cells.,The sensitivity to and intracellular accumulation of cytotoxic drugs that are transported by P-glycoprotein were enhanced by the treatment with the antagomirs of miR-27a or miR-451.
18619946,miR-451,hsa-mir-451a,MI0001729,Hydroxyurea,3657,-,KB-3-1 vs KB-V1 ,-,-,cervix carcinoma,in vitro,Low,Resistant,MDR1,-,2008,Role of MicroRNA miR-27a and miR-451 in the regulation of MDR1/P-glycoprotein expression in human cancer cells.,The sensitivity to and intracellular accumulation of cytotoxic drugs that are transported by P-glycoprotein were enhanced by the treatment with the antagomirs of miR-27a or miR-451.
18619946,miR-451,hsa-mir-451a,MI0001729,Hydroxyurea,3657,-,A2780 vs A2780DX5,-,-,ovarian cancer,in vitro,Low,Resistant,MDR1,-,2008,Role of MicroRNA miR-27a and miR-451 in the regulation of MDR1/P-glycoprotein expression in human cancer cells.,The sensitivity to and intracellular accumulation of cytotoxic drugs that are transported by P-glycoprotein were enhanced by the treatment with the antagomirs of miR-27a or miR-451.
18619946,miR-451,hsa-mir-451a,MI0001729,Vinblastine,241903,KB-3-1 and KB-V1 ,-,-,-,cervix carcinoma,in vitro,Low,Resistant,MDR1,-,2008,Role of MicroRNA miR-27a and miR-451 in the regulation of MDR1/P-glycoprotein expression in human cancer cells.,The sensitivity to and intracellular accumulation of cytotoxic drugs that are transported by P-glycoprotein were enhanced by the treatment with the antagomirs of miR-27a or miR-451.
18619946,miR-451,hsa-mir-451a,MI0001729,Vinblastine,241903,-,A2780 vs A2780DX5,-,-,ovarian cancer,in vitro,Low,Resistant,MDR1,-,2008,Role of MicroRNA miR-27a and miR-451 in the regulation of MDR1/P-glycoprotein expression in human cancer cells.,The sensitivity to and intracellular accumulation of cytotoxic drugs that are transported by P-glycoprotein were enhanced by the treatment with the antagomirs of miR-27a or miR-451.
18645025,let-7a,hsa-let-7a-1,MI0000060,Doxorubicin (Adriamycin),31703,-,MCF7 vs MCF-7/DOX,-,-,breast cancer,in vitro,High,Sensitive,-,-,2008,Involvement of microRNA-451 in resistance of the MCF-7 breast cancer cells to chemotherapeutic drug doxorubicin.,We identified 137 miRNA genes (63 up-regulated and 75 down-regulated) that were differentially expressed (P < 0.05) in the MCF-7/DOX cells compared with the parental MCF-7 cells
18645025,let-7b,hsa-let-7b,MI0000063,Doxorubicin (Adriamycin),31703,-,MCF7 vs MCF-7/DOX,-,-,breast cancer,in vitro,High,Sensitive,-,-,2008,Involvement of microRNA-451 in resistance of the MCF-7 breast cancer cells to chemotherapeutic drug doxorubicin.,We identified 137 miRNA genes (63 up-regulated and 75 down-regulated) that were differentially expressed (P < 0.05) in the MCF-7/DOX cells compared with the parental MCF-7 cells
18645025,let-7d,hsa-let-7d,MI0000065,Doxorubicin (Adriamycin),31703,-,MCF7 vs MCF-7/DOX,-,-,breast cancer,in vitro,High,Sensitive,-,-,2008,Involvement of microRNA-451 in resistance of the MCF-7 breast cancer cells to chemotherapeutic drug doxorubicin.,We identified 137 miRNA genes (63 up-regulated and 75 down-regulated) that were differentially expressed (P < 0.05) in the MCF-7/DOX cells compared with the parental MCF-7 cells
18645025,let-7f,hsa-let-7f-1,MI0000067,Doxorubicin (Adriamycin),31703,-,MCF7 vs MCF-7/DOX,-,-,breast cancer,in vitro,High,Sensitive,-,-,2008,Involvement of microRNA-451 in resistance of the MCF-7 breast cancer cells to chemotherapeutic drug doxorubicin.,We identified 137 miRNA genes (63 up-regulated and 75 down-regulated) that were differentially expressed (P < 0.05) in the MCF-7/DOX cells compared with the parental MCF-7 cells
18645025,let-7g,hsa-let-7g,MI0000433,Doxorubicin (Adriamycin),31703,-,MCF7 vs MCF-7/DOX,-,-,breast cancer,in vitro,High,Resistant,-,-,2008,Involvement of microRNA-451 in resistance of the MCF-7 breast cancer cells to chemotherapeutic drug doxorubicin.,We identified 137 miRNA genes (63 up-regulated and 75 down-regulated) that were differentially expressed (P < 0.05) in the MCF-7/DOX cells compared with the parental MCF-7 cells
18645025,let-7i,hsa-let-7i,MI0000434,Doxorubicin (Adriamycin),31703,-,MCF7 vs MCF-7/DOX,-,-,breast cancer,in vitro,High,Resistant,-,-,2008,Involvement of microRNA-451 in resistance of the MCF-7 breast cancer cells to chemotherapeutic drug doxorubicin.,We identified 137 miRNA genes (63 up-regulated and 75 down-regulated) that were differentially expressed (P < 0.05) in the MCF-7/DOX cells compared with the parental MCF-7 cells
18645025,miR-100,hsa-mir-100,MI0000102,Doxorubicin (Adriamycin),31703,-,MCF7 vs MCF-7/DOX,-,-,breast cancer,in vitro,High,Resistant,-,-,2008,Involvement of microRNA-451 in resistance of the MCF-7 breast cancer cells to chemotherapeutic drug doxorubicin.,We identified 137 miRNA genes (63 up-regulated and 75 down-regulated) that were differentially expressed (P < 0.05) in the MCF-7/DOX cells compared with the parental MCF-7 cells
18645025,miR-103,hsa-mir-103a-1,MI0000109,Doxorubicin (Adriamycin),31703,-,MCF7 vs MCF-7/DOX,-,-,breast cancer,in vitro,High,Sensitive,-,-,2008,Involvement of microRNA-451 in resistance of the MCF-7 breast cancer cells to chemotherapeutic drug doxorubicin.,We identified 137 miRNA genes (63 up-regulated and 75 down-regulated) that were differentially expressed (P < 0.05) in the MCF-7/DOX cells compared with the parental MCF-7 cells
18645025,miR-106a,hsa-mir-106a,MI0000113,Doxorubicin (Adriamycin),31703,-,MCF7 vs MCF-7/DOX,-,-,breast cancer,in vitro,High,Sensitive,-,-,2008,Involvement of microRNA-451 in resistance of the MCF-7 breast cancer cells to chemotherapeutic drug doxorubicin.,We identified 137 miRNA genes (63 up-regulated and 75 down-regulated) that were differentially expressed (P < 0.05) in the MCF-7/DOX cells compared with the parental MCF-7 cells
18645025,miR-106b,hsa-mir-106b,MI0000734,Doxorubicin (Adriamycin),31703,-,MCF7 vs MCF-7/DOX,-,-,breast cancer,in vitro,High,Resistant,-,-,2008,Involvement of microRNA-451 in resistance of the MCF-7 breast cancer cells to chemotherapeutic drug doxorubicin.,We identified 137 miRNA genes (63 up-regulated and 75 down-regulated) that were differentially expressed (P < 0.05) in the MCF-7/DOX cells compared with the parental MCF-7 cells
18645025,miR-107,hsa-mir-107,MI0000114,Doxorubicin (Adriamycin),31703,-,MCF7 vs MCF-7/DOX,-,-,breast cancer,in vitro,High,Sensitive,-,-,2008,Involvement of microRNA-451 in resistance of the MCF-7 breast cancer cells to chemotherapeutic drug doxorubicin.,We identified 137 miRNA genes (63 up-regulated and 75 down-regulated) that were differentially expressed (P < 0.05) in the MCF-7/DOX cells compared with the parental MCF-7 cells
18645025,miR-10a,hsa-mir-10a,MI0000266,Doxorubicin (Adriamycin),31703,-,MCF7 vs MCF-7/DOX,-,-,breast cancer,in vitro,High,Resistant,-,-,2008,Involvement of microRNA-451 in resistance of the MCF-7 breast cancer cells to chemotherapeutic drug doxorubicin.,We identified 137 miRNA genes (63 up-regulated and 75 down-regulated) that were differentially expressed (P < 0.05) in the MCF-7/DOX cells compared with the parental MCF-7 cells
18645025,miR-125a,hsa-mir-125a,MI0000469,Doxorubicin (Adriamycin),31703,-,MCF7 vs MCF-7/DOX,-,-,breast cancer,in vitro,High,Sensitive,-,-,2008,Involvement of microRNA-451 in resistance of the MCF-7 breast cancer cells to chemotherapeutic drug doxorubicin.,We identified 137 miRNA genes (63 up-regulated and 75 down-regulated) that were differentially expressed (P < 0.05) in the MCF-7/DOX cells compared with the parental MCF-7 cells
18645025,miR-125b,hsa-mir-125b-1,MI0000446,Doxorubicin (Adriamycin),31703,-,MCF7 vs MCF-7/DOX,-,-,breast cancer,in vitro,High,Resistant,-,-,2008,Involvement of microRNA-451 in resistance of the MCF-7 breast cancer cells to chemotherapeutic drug doxorubicin.,We identified 137 miRNA genes (63 up-regulated and 75 down-regulated) that were differentially expressed (P < 0.05) in the MCF-7/DOX cells compared with the parental MCF-7 cells
18645025,miR-127,hsa-mir-127,MI0000472,Doxorubicin (Adriamycin),31703,-,MCF7 vs MCF-7/DOX,-,-,breast cancer,in vitro,High,Sensitive,-,-,2008,Involvement of microRNA-451 in resistance of the MCF-7 breast cancer cells to chemotherapeutic drug doxorubicin.,We identified 137 miRNA genes (63 up-regulated and 75 down-regulated) that were differentially expressed (P < 0.05) in the MCF-7/DOX cells compared with the parental MCF-7 cells
18645025,miR-128b,hsa-mir-128-2,MI0000727,Doxorubicin (Adriamycin),31703,-,MCF7 vs MCF-7/DOX,-,-,breast cancer,in vitro,High,Sensitive,-,-,2008,Involvement of microRNA-451 in resistance of the MCF-7 breast cancer cells to chemotherapeutic drug doxorubicin.,We identified 137 miRNA genes (63 up-regulated and 75 down-regulated) that were differentially expressed (P < 0.05) in the MCF-7/DOX cells compared with the parental MCF-7 cells
18645025,miR-130a,hsa-mir-130a,MI0000448,Doxorubicin (Adriamycin),31703,-,MCF7 vs MCF-7/DOX,-,-,breast cancer,in vitro,High,Resistant,-,-,2008,Involvement of microRNA-451 in resistance of the MCF-7 breast cancer cells to chemotherapeutic drug doxorubicin.,We identified 137 miRNA genes (63 up-regulated and 75 down-regulated) that were differentially expressed (P < 0.05) in the MCF-7/DOX cells compared with the parental MCF-7 cells
18645025,miR-132,hsa-mir-132,MI0000449,Doxorubicin (Adriamycin),31703,-,MCF7 vs MCF-7/DOX,-,-,breast cancer,in vitro,High,Resistant,-,-,2008,Involvement of microRNA-451 in resistance of the MCF-7 breast cancer cells to chemotherapeutic drug doxorubicin.,We identified 137 miRNA genes (63 up-regulated and 75 down-regulated) that were differentially expressed (P < 0.05) in the MCF-7/DOX cells compared with the parental MCF-7 cells
18645025,miR-133a,hsa-mir-133a-1,MI0000450,Doxorubicin (Adriamycin),31703,-,MCF7 vs MCF-7/DOX,-,-,breast cancer,in vitro,High,Resistant,-,-,2008,Involvement of microRNA-451 in resistance of the MCF-7 breast cancer cells to chemotherapeutic drug doxorubicin.,We identified 137 miRNA genes (63 up-regulated and 75 down-regulated) that were differentially expressed (P < 0.05) in the MCF-7/DOX cells compared with the parental MCF-7 cells
18645025,miR-133b,hsa-mir-133b,MI0000822,Doxorubicin (Adriamycin),31703,-,MCF7 vs MCF-7/DOX,-,-,breast cancer,in vitro,High,Resistant,-,-,2008,Involvement of microRNA-451 in resistance of the MCF-7 breast cancer cells to chemotherapeutic drug doxorubicin.,We identified 137 miRNA genes (63 up-regulated and 75 down-regulated) that were differentially expressed (P < 0.05) in the MCF-7/DOX cells compared with the parental MCF-7 cells
18645025,miR-140,hsa-mir-140,MI0000456,Doxorubicin (Adriamycin),31703,-,MCF7 vs MCF-7/DOX,-,-,breast cancer,in vitro,High,Resistant,-,-,2008,Involvement of microRNA-451 in resistance of the MCF-7 breast cancer cells to chemotherapeutic drug doxorubicin.,We identified 137 miRNA genes (63 up-regulated and 75 down-regulated) that were differentially expressed (P < 0.05) in the MCF-7/DOX cells compared with the parental MCF-7 cells
18645025,miR-141,hsa-mir-141,MI0000457,Doxorubicin (Adriamycin),31703,-,MCF7 vs MCF-7/DOX,-,-,breast cancer,in vitro,High,Sensitive,-,-,2008,Involvement of microRNA-451 in resistance of the MCF-7 breast cancer cells to chemotherapeutic drug doxorubicin.,We identified 137 miRNA genes (63 up-regulated and 75 down-regulated) that were differentially expressed (P < 0.05) in the MCF-7/DOX cells compared with the parental MCF-7 cells
18645025,miR-145 ,hsa-mir-145,MI0000461,Doxorubicin (Adriamycin),31703,-,MCF7 vs MCF-7/DOX,-,-,breast cancer,in vitro,High,Resistant,-,-,2008,Involvement of microRNA-451 in resistance of the MCF-7 breast cancer cells to chemotherapeutic drug doxorubicin.,We identified 137 miRNA genes (63 up-regulated and 75 down-regulated) that were differentially expressed (P < 0.05) in the MCF-7/DOX cells compared with the parental MCF-7 cells
18645025,miR-146b,hsa-mir-146b,MI0003129,Doxorubicin (Adriamycin),31703,-,MCF7 vs MCF-7/DOX,-,-,breast cancer,in vitro,High,Resistant,-,-,2008,Involvement of microRNA-451 in resistance of the MCF-7 breast cancer cells to chemotherapeutic drug doxorubicin.,We identified 137 miRNA genes (63 up-regulated and 75 down-regulated) that were differentially expressed (P < 0.05) in the MCF-7/DOX cells compared with the parental MCF-7 cells
18645025,miR-148a,hsa-mir-148a,MI0000253,Doxorubicin (Adriamycin),31703,-,MCF7 vs MCF-7/DOX,-,-,breast cancer,in vitro,High,Sensitive,-,-,2008,Involvement of microRNA-451 in resistance of the MCF-7 breast cancer cells to chemotherapeutic drug doxorubicin.,We identified 137 miRNA genes (63 up-regulated and 75 down-regulated) that were differentially expressed (P < 0.05) in the MCF-7/DOX cells compared with the parental MCF-7 cells
18645025,miR-149,hsa-mir-149,MI0000478,Doxorubicin (Adriamycin),31703,-,MCF7 vs MCF-7/DOX,-,-,breast cancer,in vitro,High,Sensitive,-,-,2008,Involvement of microRNA-451 in resistance of the MCF-7 breast cancer cells to chemotherapeutic drug doxorubicin.,We identified 137 miRNA genes (63 up-regulated and 75 down-regulated) that were differentially expressed (P < 0.05) in the MCF-7/DOX cells compared with the parental MCF-7 cells
18645025,miR-152,hsa-mir-152,MI0000462,Doxorubicin (Adriamycin),31703,-,MCF7 vs MCF-7/DOX,-,-,breast cancer,in vitro,High,Sensitive,-,-,2008,Involvement of microRNA-451 in resistance of the MCF-7 breast cancer cells to chemotherapeutic drug doxorubicin.,We identified 137 miRNA genes (63 up-regulated and 75 down-regulated) that were differentially expressed (P < 0.05) in the MCF-7/DOX cells compared with the parental MCF-7 cells
18645025,miR-155,hsa-mir-155,MI0000681,Doxorubicin (Adriamycin),31703,-,MCF7 vs MCF-7/DOX,-,-,breast cancer,in vitro,High,Resistant,-,-,2008,Involvement of microRNA-451 in resistance of the MCF-7 breast cancer cells to chemotherapeutic drug doxorubicin.,We identified 137 miRNA genes (63 up-regulated and 75 down-regulated) that were differentially expressed (P < 0.05) in the MCF-7/DOX cells compared with the parental MCF-7 cells
18645025,miR-15a,hsa-mir-15a,MI0000069,Doxorubicin (Adriamycin),31703,-,MCF7 vs MCF-7/DOX,-,-,breast cancer,in vitro,High,Sensitive,-,-,2008,Involvement of microRNA-451 in resistance of the MCF-7 breast cancer cells to chemotherapeutic drug doxorubicin.,We identified 137 miRNA genes (63 up-regulated and 75 down-regulated) that were differentially expressed (P < 0.05) in the MCF-7/DOX cells compared with the parental MCF-7 cells
18645025,miR-15b,hsa-mir-15b,MI0000438,Doxorubicin (Adriamycin),31703,-,MCF7 vs MCF-7/DOX,-,-,breast cancer,in vitro,High,Sensitive,-,-,2008,Involvement of microRNA-451 in resistance of the MCF-7 breast cancer cells to chemotherapeutic drug doxorubicin.,We identified 137 miRNA genes (63 up-regulated and 75 down-regulated) that were differentially expressed (P < 0.05) in the MCF-7/DOX cells compared with the parental MCF-7 cells
18645025,miR-16,hsa-mir-16-1,MI0000070,Doxorubicin (Adriamycin),31703,-,MCF7 vs MCF-7/DOX,-,-,breast cancer,in vitro,High,Sensitive,-,-,2008,Involvement of microRNA-451 in resistance of the MCF-7 breast cancer cells to chemotherapeutic drug doxorubicin.,We identified 137 miRNA genes (63 up-regulated and 75 down-regulated) that were differentially expressed (P < 0.05) in the MCF-7/DOX cells compared with the parental MCF-7 cells
18645025,miR-17,hsa-mir-17,MI0000071,Doxorubicin (Adriamycin),31703,-,MCF7 vs MCF-7/DOX,-,-,breast cancer,in vitro,High,Sensitive,-,-,2008,Involvement of microRNA-451 in resistance of the MCF-7 breast cancer cells to chemotherapeutic drug doxorubicin.,We identified 137 miRNA genes (63 up-regulated and 75 down-regulated) that were differentially expressed (P < 0.05) in the MCF-7/DOX cells compared with the parental MCF-7 cells
18645025,miR-181b,hsa-mir-181b-1,MI0000270,Doxorubicin (Adriamycin),31703,-,MCF7 vs MCF-7/DOX,-,-,breast cancer,in vitro,High,Sensitive,-,-,2008,Involvement of microRNA-451 in resistance of the MCF-7 breast cancer cells to chemotherapeutic drug doxorubicin.,We identified 137 miRNA genes (63 up-regulated and 75 down-regulated) that were differentially expressed (P < 0.05) in the MCF-7/DOX cells compared with the parental MCF-7 cells
18645025,miR-181d,hsa-mir-181d,MI0003139,Doxorubicin (Adriamycin),31703,-,MCF7 vs MCF-7/DOX,-,-,breast cancer,in vitro,High,Sensitive,-,-,2008,Involvement of microRNA-451 in resistance of the MCF-7 breast cancer cells to chemotherapeutic drug doxorubicin.,We identified 137 miRNA genes (63 up-regulated and 75 down-regulated) that were differentially expressed (P < 0.05) in the MCF-7/DOX cells compared with the parental MCF-7 cells
18645025,miR-182,hsa-mir-182,MI0000272,Doxorubicin (Adriamycin),31703,-,MCF7 vs MCF-7/DOX,-,-,breast cancer,in vitro,High,Sensitive,-,-,2008,Involvement of microRNA-451 in resistance of the MCF-7 breast cancer cells to chemotherapeutic drug doxorubicin.,We identified 137 miRNA genes (63 up-regulated and 75 down-regulated) that were differentially expressed (P < 0.05) in the MCF-7/DOX cells compared with the parental MCF-7 cells
18645025,miR-185,hsa-mir-185,MI0000482,Doxorubicin (Adriamycin),31703,-,MCF7 vs MCF-7/DOX,-,-,breast cancer,in vitro,High,Sensitive,-,-,2008,Involvement of microRNA-451 in resistance of the MCF-7 breast cancer cells to chemotherapeutic drug doxorubicin.,We identified 137 miRNA genes (63 up-regulated and 75 down-regulated) that were differentially expressed (P < 0.05) in the MCF-7/DOX cells compared with the parental MCF-7 cells
18645025,miR-186,hsa-mir-186,MI0000483,Doxorubicin (Adriamycin),31703,-,MCF7 vs MCF-7/DOX,-,-,breast cancer,in vitro,High,Resistant,-,-,2008,Involvement of microRNA-451 in resistance of the MCF-7 breast cancer cells to chemotherapeutic drug doxorubicin.,We identified 137 miRNA genes (63 up-regulated and 75 down-regulated) that were differentially expressed (P < 0.05) in the MCF-7/DOX cells compared with the parental MCF-7 cells
18645025,miR-187,hsa-mir-187,MI0000274,Doxorubicin (Adriamycin),31703,-,MCF7 vs MCF-7/DOX,-,-,breast cancer,in vitro,High,Resistant,-,-,2008,Involvement of microRNA-451 in resistance of the MCF-7 breast cancer cells to chemotherapeutic drug doxorubicin.,We identified 137 miRNA genes (63 up-regulated and 75 down-regulated) that were differentially expressed (P < 0.05) in the MCF-7/DOX cells compared with the parental MCF-7 cells
18645025,miR-18a,hsa-mir-18a,MI0000072,Doxorubicin (Adriamycin),31703,-,MCF7 vs MCF-7/DOX,-,-,breast cancer,in vitro,High,Sensitive,-,-,2008,Involvement of microRNA-451 in resistance of the MCF-7 breast cancer cells to chemotherapeutic drug doxorubicin.,We identified 137 miRNA genes (63 up-regulated and 75 down-regulated) that were differentially expressed (P < 0.05) in the MCF-7/DOX cells compared with the parental MCF-7 cells
18645025,miR-18b,hsa-mir-18b,MI0001518,Doxorubicin (Adriamycin),31703,-,MCF7 vs MCF-7/DOX,-,-,breast cancer,in vitro,High,Resistant,-,-,2008,Involvement of microRNA-451 in resistance of the MCF-7 breast cancer cells to chemotherapeutic drug doxorubicin.,We identified 137 miRNA genes (63 up-regulated and 75 down-regulated) that were differentially expressed (P < 0.05) in the MCF-7/DOX cells compared with the parental MCF-7 cells
18645025,miR-191,hsa-mir-191,MI0000465,Doxorubicin (Adriamycin),31703,-,MCF7 vs MCF-7/DOX,-,-,breast cancer,in vitro,High,Resistant,-,-,2008,Involvement of microRNA-451 in resistance of the MCF-7 breast cancer cells to chemotherapeutic drug doxorubicin.,We identified 137 miRNA genes (63 up-regulated and 75 down-regulated) that were differentially expressed (P < 0.05) in the MCF-7/DOX cells compared with the parental MCF-7 cells
18645025,miR-192,hsa-mir-192,MI0000234,Doxorubicin (Adriamycin),31703,-,MCF7 vs MCF-7/DOX,-,-,breast cancer,in vitro,High,Resistant,-,-,2008,Involvement of microRNA-451 in resistance of the MCF-7 breast cancer cells to chemotherapeutic drug doxorubicin.,We identified 137 miRNA genes (63 up-regulated and 75 down-regulated) that were differentially expressed (P < 0.05) in the MCF-7/DOX cells compared with the parental MCF-7 cells
